ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-11-01,-23677.519705,-52162.24836170938,8225.4504194368,-23677.519705,-23677.519705,0.0,0.0,0.0,0.0,0.0,0.0,-23677.519705
2023-12-01,8381.007055330578,-21778.685092929256,37693.574393875795,8381.007055330578,8381.007055330578,0.0,0.0,0.0,0.0,0.0,0.0,8381.007055330578
2024-01-01,41508.151378848735,12576.592440792207,69838.93785159505,41508.151378848735,41508.151378848735,0.0,0.0,0.0,0.0,0.0,0.0,41508.151378848735
2024-02-01,74635.2957222449,43228.39134713267,103673.41359278519,74635.2957222449,74635.2957222449,0.0,0.0,0.0,0.0,0.0,0.0,74635.2957222449
2024-03-01,105625.20493253683,75113.13946699239,134724.09743060614,105625.20493253683,105625.20493253683,0.0,0.0,0.0,0.0,0.0,0.0,105625.20493253683
2024-03-31,137683.73170180435,107405.0164191814,166754.84375737922,137683.73150375532,137683.7319139815,0.0,0.0,0.0,0.0,0.0,0.0,137683.73170180435
2024-04-30,169742.25847107184,140289.27687010847,197323.76331034955,169742.2578427766,169742.25917615465,0.0,0.0,0.0,0.0,0.0,0.0,169742.25847107184
2024-05-31,202869.40279931494,173674.41244377612,231239.55381993562,202869.40154315523,202869.404149962,0.0,0.0,0.0,0.0,0.0,0.0,202869.40279931494
2024-06-30,234927.92956858248,207083.57833312612,263975.2795888505,234927.92757170406,234927.93160050316,0.0,0.0,0.0,0.0,0.0,0.0,234927.92956858248
2024-07-31,268055.0738968256,241945.83021291345,300356.9537005681,268055.0709772092,268055.076721909,0.0,0.0,0.0,0.0,0.0,0.0,268055.0738968256
2024-08-31,301182.2182250687,273161.7792025226,330139.4129993621,301182.2143102901,301182.2220454678,0.0,0.0,0.0,0.0,0.0,0.0,301182.2182250687
